variant,engine,lang,psm,prep,images_ok,images_total,total_seconds,avg_seconds_per_image,avg_token_set_accuracy,avg_char_accuracy,avg_chars_out,status,error
tess-eng-psm3-raw,tesseract,eng,3,raw,7,7,18.162,2.595,0.4657,0.2015,909.7,ok,
tess-deu-psm3-raw,tesseract,deu,3,raw,7,7,18.392,2.627,0.4636,0.2055,877.4,ok,
tess-fra-psm3-raw,tesseract,fra,3,raw,7,7,18.508,2.644,0.4705,0.2029,857.7,ok,
tess-latin-psm3-raw,tesseract,Latin,3,raw,7,7,22.047,3.15,0.4538,0.1947,856.1,ok,
tess-eng+deu+fra-psm3-raw,tesseract,eng+deu+fra,3,raw,7,7,36.514,5.216,0.4658,0.2039,886.3,ok,
tess-latin+eng-psm3-raw,tesseract,Latin+eng,3,raw,7,7,30.199,4.314,0.4619,0.2031,875.3,ok,
tess-latin-psm4-raw,tesseract,Latin,4,raw,7,7,10.354,1.479,0.2077,0.0359,27.1,ok,
tess-latin-psm6-raw,tesseract,Latin,6,raw,7,7,62.145,8.878,0.3502,0.1027,1980.6,ok,
tess-latin-psm11-raw,tesseract,Latin,11,raw,7,7,36.754,5.251,0.3626,0.1986,1217,ok,
tess-latin-psm12-raw,tesseract,Latin,12,raw,7,7,30.564,4.366,0.5837,0.2729,1562.4,ok,
tess-latin-psm13-raw,tesseract,Latin,13,raw,7,7,31.661,4.523,0.0114,0.0047,2.9,ok,
tess-eng+deu+fra-psm4-raw,tesseract,eng+deu+fra,4,raw,7,7,10.45,1.493,0.213,0.0368,27.6,ok,
tess-eng+deu+fra-psm6-raw,tesseract,eng+deu+fra,6,raw,7,7,111.897,15.985,0.3539,0.1001,2044,ok,
tess-eng+deu+fra-psm11-raw,tesseract,eng+deu+fra,11,raw,7,7,56.39,8.056,0.3673,0.1951,1176.6,ok,
tess-eng+deu+fra-psm12-raw,tesseract,eng+deu+fra,12,raw,7,7,40.314,5.759,0.5853,0.2948,1564,ok,
tess-latin-psm11-gray,tesseract,Latin,11,gray,7,7,18.214,2.602,0.736,0.3888,1408.7,ok,
tess-latin-psm11-up2_gray,tesseract,Latin,11,up2_gray,7,7,97.774,13.968,0.6702,0.1306,2938.7,ok,
tess-latin-psm11-otsu,tesseract,Latin,11,otsu,7,7,89.059,12.723,0.6682,0.1308,2982.6,ok,
tess-latin-psm11-sharpen,tesseract,Latin,11,sharpen,5,7,67.616,13.523,0.6507,0.1309,3200,partial,"Command '['tesseract', '/tmp/tmp9sdr3vy3.png', 'stdout', '-l', 'Latin', '--psm', '11', '--oem', '1']' timed out after 45 seconds"
tess-latin-psm11-contrast,tesseract,Latin,11,contrast,7,7,110.296,15.757,0.3125,0.1024,2693.3,ok,
